image_name,work_name,songs,song_display_names
"gal_さくらもゆ.jpg","さくら、もゆ","gal_藤田茜_-_さくら、もゆ。.mp3|gal_山本美禰子_-_輪廻.mp3|gal_佐咲紗花_-_さくら、Reincarnation.mp3","藤田茜 - さくら、もゆ。|山本美禰子 - 輪廻|佐咲紗花 - さくら、Reincarnation"
"gal_サノバウィッチ.jpg","サノバウィッチ","gal_米倉千尋_-_恋せよ乙女!.mp3","米倉千尋 - 恋せよ乙女！"
"gal_ソレヨリノ前奏詩.jpg","ソレヨリノ前奏詩","gal_原田ひとみ_-_Cherish.mp3","原田ひとみ - Cherish"
"gal_タマユラミライ.jpg","タマユラミライ","gal_いとうかなこ_-_ココニイルカラ_(full_version).mp3","いとうかなこ - ココニイルカラ (full version)"
"gal_ドーナドーナ_いっしょにわるいことをしよう.jpg","ドーナドーナ いっしょにわるいことをしよう","gal_月乃_-_ドーナドーナのうた.mp3","月乃 - ドーナドーナのうた"
"gal_ニュートンと林檎の樹.jpg","ニュートンと林檎の樹","gal_柳麻美_-_風の唄.mp3","柳麻美 - 風の唄"
"gal_ノラと皇女と野良猫ハート.jpg","ノラと皇女と野良猫ハート","gal_高森奈津美,遥そら,浅川悠_-_ネ!コ!.mp3|gal_遥そら,高森奈津美,浅川悠_-_野良猫ハート(ヒロイン4人コーラスVer.).mp3","高森奈津美,遥そら,浅川悠 - ネ!コ!|遥そら,高森奈津美,浅川悠 - 野良猫ハート(ヒロイン4人コーラスVer.)"
"gal_はつゆきさくら.jpg","はつゆきさくら","gal_fripSide_-_HesitationSnow.mp3","fripSide - HesitationSnow"
"gal_ハミダシクリエイティブ.jpg","ハミダシクリエイティブ","gal_ヒヅキミウ_-_トキラキメキ.mp3|gal_櫻川めぐ_-_Unreal_Creation!.mp3","ヒヅキミウ - トキラキメキ|櫻川めぐ - Unreal Creation!"
"gal_フタマタ恋愛.jpg","フタマタ恋愛","gal_花たん_-_恋の未来図.mp3","花たん - 恋の未来図"
"gal_ふゆからくるる.jpg","ふゆからくるる","gal_逢瀬アキラ_-_Sacrifice_(Full_ver.).mp3","逢瀬アキラ - Sacrifice (Full ver.)"
"gal_まいてつ.jpg","まいてつ","gal_中恵光城_-_レイル・ロマネスク.mp3","中恵光城 - レイル・ロマネスク"
"gal_ヨスガノソラ.jpg","ヨスガノソラ","gal_eufonius_-_比翼の羽根.mp3","eufonius - 比翼の羽根"
"gal_俺の恋天使がポンコツすぎてコワ~い.jpg","俺の恋天使がポンコツすぎてコワ～い","gal_はちみつこ_-_Love_note.mp3","はちみつこ - Love note"
"gal_俺の姿が、透明に!_不可视の薬と数奇な运命.jpg","俺の姿が、透明に！？不可视の薬と数奇な运命","gal_Duca_-_Clearly.mp3","Duca - Clearly"
"gal_抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか_.jpg","抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？","gal_夢乃ゆき_-_THE_APPLE_IS_CAST!.mp3|gal_綾瀬理恵_-_非実在系女子達はどうすりゃいいですか.mp3","夢乃ゆき - THE APPLE IS CAST!|綾瀬理恵 - 非実在系女子達はどうすりゃいいですか"
"gal_绊きらめく恋いろは.jpg","绊きらめく恋いろは","gal_KEiNA_-_可憐雪月花.mp3","KEiNA - 可憐雪月花"
"gal_保健室のセンセーとシャボン玉中毒の助手.jpg","保健室のセンセーとシャボン玉中毒の助手","gal_佐咲紗花_-_Love's_Oracle.mp3","佐咲紗花 - Love's Oracle"
"gal_蒼の彼方のフォーリズム.jpg","蒼の彼方のフォーリズム","gal_川田まみ_-_Wings_of_Courage_-空を超えて-.mp3","川田まみ - Wings of Courage -空を超えて-"
"gal_喫茶ステラと死神の蝶.jpg","喫茶ステラと死神の蝶","gal_藤田茜_-_Sweetest_Bitterness.mp3|gal_神代あみ_-_スイートマリアージュ.mp3","藤田茜 - Sweetest Bitterness|神代あみ - スイートマリアージュ"
"gal_出会って5分は俺のもの!時間停止と不可避な運命.jpg","出会って5分は俺のもの！時間停止と不可避な運命","gal_Duca_-_Time_is_(Full_ver).mp3","Duca - Time is (Full ver)"
"gal_放課後シンデレラ.jpg","放課後シンデレラ","gal_Yukacco_-_Cinderella_Street.mp3","Yukacco - Cinderella Street"
"gal_黄昏のシンセミア.jpg","黄昏のシンセミア","gal_瀬名_-_Long_for.mp3|gal_佐藤ひろ美_-_夏のファンタジア.mp3","瀬名 - Long for|佐藤ひろ美 - 夏のファンタジア"
"gal_穢翼のユースティア.jpg","穢翼のユースティア","gal_Ceui_-_親愛なる世界へ.mp3|gal_南條愛乃_-_空種.mp3|gal_Ceui_-_Asphodelus.mp3","Ceui - 親愛なる世界へ|南條愛乃 - 空種|Ceui - Asphodelus"
"gal_金色ラブリッチェ.jpg","金色ラブリッチェ","gal_Duca_-_Golden_Route.mp3|gal_佐咲紗花_-_Golden_Mission.mp3","Duca - Golden Route|佐咲紗花 - Golden Mission"
"gal_景の海のアペイリア.jpg","景の海のアペイリア","gal_薬師るり_-_アペイリア.mp3","薬師るり - アペイリア"
"gal_殻ノ少女.jpg","殻ノ少女","gal_霜月はるか_-_瑠璃の鳥.mp3","霜月はるか - 瑠璃の鳥"
"gal_枯れない世界と終わる花.jpg","枯れない世界と終わる花","gal_AiRI_-_永遠に咲く花.mp3","AiRI - 永遠に咲く花"
"gal_恋×シンアイ彼女.jpg","恋×シンアイ彼女","gal_yuiko_-_GLORIOUS_DAYS.mp3|gal_yuiko_-_東の空から始まる世界.mp3","yuiko - GLORIOUS DAYS|yuiko - 東の空から始まる世界"
"gal_恋愛、借りちゃいました.jpg","恋愛、借りちゃいました","gal_Rin'ca_-_君に届けるstory.mp3","Rin'ca - 君に届けるstory"
"gal_美少女万华镜.jpg","美少女万华镜","gal_橘エリカ_-_生きとし生けるもの.mp3","橘エリカ - 生きとし生けるもの"
"gal_妹调教日记.jpg","妹调教日记","gal_まめこ,sentive_-_ちゅーにッ☆Let's_play_xxx_with_you!.mp3","まめこ,sentive - ちゅーにッ☆Let's play xxx with you!"
"gal_冥契のルペルカリア.jpg","冥契のルペルカリア","gal_アヤネ_-_ライムライトの残火.mp3","アヤネ - ライムライトの残火"
"gal_魔法使いの夜.jpg","魔法使いの夜","gal_supercell_-_星が瞬くこんな夜に_~ゲームVer.~.mp3","supercell - 星が瞬くこんな夜に ~ゲームVer.~"
"gal_魔女こいにっき.jpg","魔女こいにっき","gal_monet_-_永遠の魔法使い.mp3","monet - 永遠の魔法使い"
"gal_千の刃濤、桃花染の皇姫.jpg","千の刃濤、桃花染の皇姫","gal_ういにゃす,おっちょこバニー_-_嗚呼_絢爛の泡沫が如く.mp3","ういにゃす,おっちょこバニー - 嗚呼 絢爛の泡沫が如く"
"gal_千恋万花.jpg","千恋万花","gal_Famishin,KOTOKO_-_恋ひ恋ふ縁.mp3","Famishin,KOTOKO - 恋ひ恋ふ縁"
"gal_青い空のカミュ.jpg","青い空のカミュ","gal_榊原ゆい,BLUE_DOOR_RECORD_-_完璧な世界_full.mp3","榊原ゆい,BLUE DOOR RECORD - 完璧な世界 full"
"gal_晴のちきっと菜の花びより.jpg","晴のちきっと菜の花びより","gal_茶太_-_I_will.mp3","茶太 - I will"
"gal_沙耶の唄.jpg","沙耶の唄","gal_いとうかなこ_-_ガラスのくつ.mp3|gal_いとうかなこ_-_沙耶の唄.mp3","いとうかなこ - ガラスのくつ|いとうかなこ - 沙耶の唄"
"gal_神様のような君へ.jpg","神様のような君へ","gal_Duca_-_AI.mp3","Duca - AI"
"gal_水葬銀貨のイストリア.jpg","水葬銀貨のイストリア","gal_アヤネ_-_アズライトの棺.mp3","アヤネ - アズライトの棺"
"gal_死に逝く君、館に芽吹く憎悪.jpg","死に逝く君、館に芽吹く憎悪","gal_電気式華憐音楽集団_-_館廻り.mp3","電気式華憐音楽集団 - 館廻り"
"gal_素晴らしき日々~不連続存在~.jpg","素晴らしき日々～不連続存在～","gal_はな_-_空気力学少女と少年の詩.mp3","はな - 空気力学少女と少年の詩"
"gal_夏空カナタ.jpg","夏空カナタ","gal_霜月はるか_-_想いのカナタ.mp3","霜月はるか - 想いのカナタ"
"gal_星空のメモリア.jpg","星空のメモリア","gal_山本美禰子_-_冬のダイヤモンド.mp3","山本美禰子 - 冬のダイヤモンド"
"gal_星空鉄道とシロの旅.jpg","星空鉄道とシロの旅","gal_保科めぐみ_-_スタートリップ.mp3","保科めぐみ - スタートリップ"
"gal_月に寄りそう乙女の作法.jpg","月に寄りそう乙女の作法","gal_美郷あき_-_DESIRE.mp3","美郷あき - DESIRE"
"gal_月影のシミュラクル_-解放の羽-.jpg","月影のシミュラクル -解放の羽-","gal_佐藤ひろ美_-_自由の翅.mp3|gal_霜月はるか_-_イノチの灯し方.mp3","佐藤ひろ美 - 自由の翅|霜月はるか - イノチの灯し方"
"gal_真愛の百合は赤く染める.jpg","真愛の百合は赤く染める","gal_電気式華憐音楽集団_-_Lily_Toxicity.mp3","電気式華憐音楽集団 - Lily Toxicity"
"gal_終のステラ.jpg","終のステラ","gal_相宮零,VISUAL_ARTS_,_Key_-_breath_of_stella.mp3|gal_相宮零,VISUAL_ARTS_,_Key_-_Ortus.mp3","相宮零,VISUAL ARTS , Key - breath of stella|相宮零,VISUAL ARTS , Key - Ortus"
"gal_装甲悪鬼村正.jpg","装甲悪鬼村正","gal_いとうかなこ_-_落葉.mp3|gal_小野正利_-_MURAMASA.mp3","いとうかなこ - 落葉|小野正利 - MURAMASA"
